 	EXP1	EXP2	EXP3	EXP4	EXP5	EXP6	EXP7	EXP8	EXP9	EXP10	EXP11	EXP12	EXP13	EXP14	EXP15	EXP16	EXP17	EXP18	EXP19	EXP20	EXP21	EXP22	EXP23	EXP24	EXP25	EXP26	EXP27	EXP28	EXP29	EXP30	EXP31	EXP32	EXP33	EXP34	EXP35	EXP36	EXP37	EXP38		
AB000464_at	803	1489	322	409	1074	629	964	548	668	1128	839	807	1257	209	747	1207	481	799	1124	756	2513	750	1495	246	706	666	909	814	654	585	867	280	799	379	843	1000	1319	1166		2.49E-06
AB000468_at	378	266	554	312	238	38	937	1289	357	490	712	553	857	863	1166	579	20	278	20	249	362	110	896	229	2432	719	252	88	20	573	270	542	436	518	20	111	122	376		2.55E-06
AB000584_at	20	20	20	134	20	20	20	20	20	20	20	20	20	20	134	20	106	20	20	20	20	20	20	20	20	20	36	20	115	20	1010	1885	20	20	20	20	20	74		2.65E-06
AB000895_at	20	20	20	20	20	20	20	20	20	20	172	20	393	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20		3.77E-06
AB000896_at	20	20	20	20	20	20	35	20	20	20	55	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	111	20	20	20	20	20	20		3.81E-06
AB000905_at	155	115	45	173	121	50	113	59	75	20	118	155	162	139	139	228	138	94	262	131	270	78	90	95	128	52	118	168	108	51	142	178	143	43	54	70	108	194		3.89E-06
AB001106_at	355	255	569	282	295	227	765	286	470	255	182	354	833	753	291	320	169	169	309	431	603	136	450	401	487	255	367	274	625	202	249	433	279	218	369	336	297	586		4.08E-06
AB001325_at	1149	1078	501	1357	1759	651	934	359	828	795	605	953	920	502	810	833	847	646	1561	941	1923	1374	1896	792	1009	1100	813	993	1187	957	1052	1336	1081	420	397	1003	1278	1966		4.66E-06
AB002314_at	20	20	20	33	20	20	55	20	20	20	46	85	41	20	20	20	50	43	137	20	94	20	34	20	20	20	20	20	20	20	39	36	79	20	47	20	92	91		5.11E-06
AB002315_at	158	238	181	57	143	100	229	145	136	345	179	20	326	172	20	140	145	114	20	328	300	26	389	22	356	156	20	134	60	327	149	255	239	254	660	69	329	168		5.45E-06
AB002318_at	1084	1316	296	1041	1253	494	757	631	965	1318	434	729	2047	838	584	1327	606	790	1891	1215	1281	841	1375	969	1567	990	442	1377	699	1434	747	1053	1625	67	1021	1013	1045	1341		5.55E-06
AB002365_at	87	112	20	65	203	20	20	90	20	201	20	27	260	51	71	102	20	20	208	53	128	144	93	24	54	20	49	57	20	91	41	20	60	20	155	20	23	20		6.21E-06
AB002366_at	125	41	20	20	50	66	29	20	20	128	20	20	20	93	20	72	20	20	46	20	70	64	41	20	20	51	44	20	38	20	20	20	20	20	20	20	20	20		6.37E-06
AB002380_at	20	34	20	20	20	20	29	32	20	80	73	20	367	458	150	20	20	20	106	20	20	20	20	20	20	20	20	20	20	20	54	57	20	42	63	47	122	71		6.85E-06
AB002382_at	553	512	514	347	1031	337	560	539	251	535	365	263	997	277	821	903	430	350	414	215	460	515	392	300	550	457	179	782	528	665	590	1029	716	179	122	377	145	850		7.41E-06
AB002409_at	152	20	20	20	20	27	20	212	84	20	20	20	20	20	20	88	121	50	20	104	20	88	35	20	20	29	63	88	20	20	20	20	71	20	30	20	38	20		8.12E-06
AB002559_at	759	1062	822	1068	1455	753	728	943	644	2702	916	677	1251	138	1557	814	667	617	1187	1656	1129	1020	1099	1164	662	918	756	1802	1024	3089	1974	1084	1090	908	2473	1634	1590	1322		8.15E-06
AB003102_at	551	654	756	467	1014	304	881	925	480	1159	583	348	1235	326	541	791	387	366	627	739	884	769	842	439	1368	704	534	698	372	807	1145	618	586	467	683	750	600	742		8.39E-06
AB003103_at	34	90	159	139	130	20	233	115	196	295	52	81	453	233	36	236	26	40	104	37	141	20	69	78	189	160	105	64	134	23	56	20	68	43	110	95	23	131		8.39E-06
AB003177_at	588	652	999	764	614	196	637	609	647	610	342	278	1296	442	500	1043	364	603	858	781	1044	576	1321	494	1168	728	415	628	637	781	965	598	517	635	857	561	296	789		8.63E-06
AB003698_at	129	147	243	110	79	96	469	219	138	520	178	129	419	351	20	416	61	118	150	182	422	136	376	206	326	373	181	121	218	173	152	43	105	67	122	62	81	28		9.98E-06
AB004884_at	1128	904	1037	956	766	419	1364	851	485	1396	611	574	1881	475	1145	699	791	784	1296	944	1019	528	1057	906	1103	972	597	1094	423	1247	952	962	1198	491	1019	646	783	1054		1.06E-05
AB006190_at	919	614	691	658	1088	505	701	385	524	799	643	583	935	353	656	758	548	557	921	759	1019	410	707	427	605	631	520	853	779	662	591	591	761	321	843	571	637	835		1.06E-05
AC000061_cds2_at	399	761	263	982	244	347	92	200	358	426	239	411	294	74	401	587	225	308	882	219	649	261	244	263	238	296	244	325	226	429	65	407	341	70	461	20	299	685		1.09E-05
AC000062_at	20	20	20	20	34	20	20	23	20	20	20	20	20	20	20	25	20	24	42	20	20	20	20	20	20	43	20	20	20	20	20	20	21	20	20	20	20	20		1.10E-05
AC000064_cds1_at	271	414	397	499	530	353	296	386	299	357	289	228	452	272	320	897	252	200	874	595	457	145	307	305	199	603	344	596	774	359	513	606	454	321	536	565	519	595		1.12E-05
AC000064_cds2_at	78	142	85	176	283	54	166	165	134	59	98	88	202	126	94	101	93	68	175	142	205	135	187	60	149	136	252	102	305	181	152	43	205	129	103	154	171	266		1.14E-05
AC000066_at	32	20	20	20	20	20	20	31	20	20	20	20	43	89	20	20	20	20	20	42	20	20	20	20	24	20	20	20	20	20	20	20	20	39	20	20	20	20		1.38E-05
AC000099_at	245	99	89	238	46	64	107	59	128	171	97	94	169	20	20	130	33	60	336	125	124	92	20	154	169	65	132	152	110	123	163	174	117	130	20	20	223	217		1.65E-05
AC000115_cds1_at	20	20	20	110	59	20	20	20	70	20	20	20	20	20	20	20	20	20	81	20	86	26	45	20	32	20	93	20	20	20	20	20	97	20	20	20	49	20		1.66E-05
AC002045_xpt1_at	70	150	149	52	172	90	115	55	53	339	20	66	343	62	160	271	167	108	145	180	92	136	137	73	271	102	319	220	43	97	197	109	51	119	159	124	206	97		1.72E-05
AC002073_cds1_at	146	20	169	20	101	41	121	109	20	306	124	21	102	20	138	278	253	78	20	224	20	85	75	20	233	20	20	166	189	259	262	20	634	20	132	20	252	411		1.78E-05
AC002077_at	20	20	20	20	20	20	20	20	20	20	20	20	20	20	71	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20		1.87E-05
AC002086_at	117	20	65	20	20	20	65	20	20	76	20	36	74	68	35	123	59	20	20	20	20	40	20	30	122	28	36	79	20	38	42	53	79	20	20	68	64	40		1.90E-05
AC002115_cds1_at	2236	3083	3569	2478	2905	3397	2711	4572	3307	5052	2585	2288	7632	1310	2063	3440	3634	3335	2959	5198	4261	2832	4692	3192	3621	3055	2557	3767	2269	4238	3274	3246	3000	3393	5940	2919	1733	2319		2.11E-05
AC002115_cds3_at	729	675	425	910	779	586	555	474	728	801	404	528	443	441	648	850	527	437	883	533	959	686	849	778	727	439	861	789	776	1009	931	916	881	381	384	857	390	914		2.27E-05
AC002115_rna2_at	362	294	580	307	281	353	653	614	439	416	374	217	1000	128	206	789	507	365	84	387	646	430	662	326	417	442	168	223	74	697	663	245	678	599	481	472	764	438		2.31E-05
AC002450_at	20	20	56	20	20	20	20	30	20	87	20	20	118	20	41	20	20	20	106	36	20	20	20	20	20	20	20	20	20	41	20	119	20	20	20	20	20	20		2.46E-05
